timestamp,washing_machine
2026-09-01T09:00:00,7.7
2026-09-01T09:00:01,8.5
2026-09-01T09:00:02,7.8
2026-09-01T09:00:03,7.7
2026-09-01T09:00:04,7.1
2026-09-01T09:00:05,7.8
2026-09-01T09:00:06,9.1
2026-09-01T09:00:07,8.4
2026-09-01T09:00:08,9.0
2026-09-01T09:00:09,8.2
2026-09-01T09:00:10,8.4
2026-09-01T09:00:11,8.2
2026-09-01T09:00:12,6.3
2026-09-01T09:00:13,8.9
2026-09-01T09:00:14,8.5
2026-09-01T09:00:15,8.5
2026-09-01T09:00:16,6.3
2026-09-01T09:00:17,6.3
2026-09-01T09:00:18,7.1
2026-09-01T09:00:19,7.5
2026-09-01T09:00:20,8.3
2026-09-01T09:00:21,8.0
2026-09-01T09:00:22,8.5
2026-09-01T09:00:23,7.4
2026-09-01T09:00:24,8.3
2026-09-01T09:00:25,8.4
2026-09-01T09:00:26,7.3
2026-09-01T09:00:27,9.7
2026-09-01T09:00:28,8.6
2026-09-01T09:00:29,9.2
2026-09-01T09:00:30,7.4
2026-09-01T09:00:31,7.3
2026-09-01T09:00:32,7.7
2026-09-01T09:00:33,7.9
2026-09-01T09:00:34,8.6
2026-09-01T09:00:35,8.2
2026-09-01T09:00:36,7.6
2026-09-01T09:00:37,7.0
2026-09-01T09:00:38,7.5
2026-09-01T09:00:39,9.2
2026-09-01T09:00:40,7.2
2026-09-01T09:00:41,8.2
2026-09-01T09:00:42,8.4
2026-09-01T09:00:43,6.5
2026-09-01T09:00:44,8.0
2026-09-01T09:00:45,9.3
2026-09-01T09:00:46,6.0
2026-09-01T09:00:47,7.7
2026-09-01T09:00:48,7.9
2026-09-01T09:00:49,7.2
2026-09-01T09:00:50,8.5
2026-09-01T09:00:51,7.9
2026-09-01T09:00:52,6.5
2026-09-01T09:00:53,8.8
2026-09-01T09:00:54,8.7
2026-09-01T09:00:55,8.9
2026-09-01T09:00:56,9.4
2026-09-01T09:00:57,8.4
2026-09-01T09:00:58,8.1
2026-09-01T09:00:59,6.7
2026-09-01T09:01:00,8.6
2026-09-01T09:01:01,7.4
2026-09-01T09:01:02,7.5
2026-09-01T09:01:03,6.7
2026-09-01T09:01:04,7.0
2026-09-01T09:01:05,7.5
2026-09-01T09:01:06,9.3
2026-09-01T09:01:07,6.0
